LogDat2 Data File			
			
2/10/2015	15:03:37	0	61.3
2/10/2015	15:03:40	0.02	61.3
2/10/2015	15:03:43	0.08	61
2/10/2015	15:03:46	0.11	60.7
2/10/2015	15:03:49	0.08	60.7
2/10/2015	15:03:52	0.03	60.7
2/10/2015	15:03:55	0.01	60.7
2/10/2015	15:03:58	0.01	60.8
2/10/2015	15:04:01	0.01	60.8
2/10/2015	15:04:04	0.04	60.7
2/10/2015	15:04:07	0.07	60.6
2/10/2015	15:04:10	0.11	60.6
2/10/2015	15:04:13	0.1	60.9
2/10/2015	15:04:16	0.02	60.9
			
Model Number:	9545		
Serial Number:	T95451437005		
Test ID:	4		
Test Abbreviation:	Test 004		
Start Date:	2/11/2015		
Start Time:	10:08:19		
Duration (dd:hh:mm:ss):	2:03:03:14		
Log Interval (mm:ss):	0:10		
Number of points:	7291		
Notes:	Test 004		
			
Reading Type	Standard		
	Temperature	21.1deg C	
	Pressure	1013.2hPa	
			
Statistics	Channel:	Vel	H
	Units:	m/s	%rh
	Average:	0	58.6
	Minimum:	0	51.3
	Time of Minimum:	10:08:29	14:10:18
	Date of Minimum:	2/11/2015	2/11/2015
	Maximum:	0.05	72.8
	Time of Maximum:	10:36:04	9:46:59
	Date of Maximum:	2/13/2015	2/12/2015
			
Calibration	Meter:	9/12/2014	
Calibration	Sensor:		
	Cal. Date		
			
Date	Time	Vel	H
MM/dd/yyyy	hh:mm:ss	m/s	%rh
2/11/2015	10:08:29	0	62.2
2/11/2015	10:08:39	0	62.3
2/11/2015	10:08:49	0	62.4
2/11/2015	10:08:59	0	62.4
2/11/2015	10:09:09	0	62.5
2/11/2015	10:09:19	0	62.7
2/11/2015	10:09:29	0	62.7
2/11/2015	10:09:39	0	62.7
2/11/2015	10:09:49	0	62.8
2/11/2015	10:09:59	0	62.8
2/11/2015	10:10:09	0	62.9
2/11/2015	10:10:19	0	62.9
2/11/2015	10:10:29	0	63
2/11/2015	10:10:39	0	63
2/11/2015	10:10:49	0	63
2/11/2015	10:10:59	0	63
2/11/2015	10:11:09	0	63.1
2/11/2015	10:11:19	0	63.1
2/11/2015	10:11:29	0	63
2/11/2015	10:11:39	0	63
2/11/2015	10:11:49	0	63
2/11/2015	10:11:59	0	63
2/11/2015	10:12:09	0	63
2/11/2015	10:12:19	0	63
2/11/2015	10:12:29	0	63
2/11/2015	10:12:39	0	63
2/11/2015	10:12:49	0	63.1
2/11/2015	10:12:59	0	63
2/11/2015	10:13:09	0	63
2/11/2015	10:13:19	0	63
2/11/2015	10:13:29	0	63
2/11/2015	10:13:39	0	63
2/11/2015	10:13:49	0	63
2/11/2015	10:13:59	0	63
2/11/2015	10:14:09	0	63
2/11/2015	10:14:19	0	63
2/11/2015	10:14:29	0	62.9
2/11/2015	10:14:39	0	62.9
2/11/2015	10:14:49	0	62.9
2/11/2015	10:14:59	0	62.9
2/11/2015	10:15:09	0	62.8
2/11/2015	10:15:19	0	62.8
2/11/2015	10:15:29	0	62.8
2/11/2015	10:15:39	0	62.8
2/11/2015	10:15:49	0	62.8
2/11/2015	10:15:59	0	62.7
2/11/2015	10:16:09	0	62.7
2/11/2015	10:16:19	0	62.7
2/11/2015	10:16:29	0	62.6
2/11/2015	10:16:38	0	62.6
2/11/2015	10:16:48	0	62.6
2/11/2015	10:16:59	0	62.6
2/11/2015	10:17:08	0	62.6
2/11/2015	10:17:18	0	62.6
2/11/2015	10:17:29	0	62.6
2/11/2015	10:17:38	0	62.6
2/11/2015	10:17:48	0	62.6
2/11/2015	10:17:59	0	62.5
2/11/2015	10:18:08	0	62.5
2/11/2015	10:18:18	0	62.5
2/11/2015	10:18:29	0	62.5
2/11/2015	10:18:38	0	62.5
2/11/2015	10:18:48	0	62.5
2/11/2015	10:18:59	0	62.5
2/11/2015	10:19:08	0	62.5
2/11/2015	10:19:18	0	62.4
2/11/2015	10:19:29	0	62.4
2/11/2015	10:19:38	0	62.4
2/11/2015	10:19:48	0	62.4
2/11/2015	10:19:59	0	62.4
2/11/2015	10:20:08	0	62.3
2/11/2015	10:20:18	0	62.3
2/11/2015	10:20:29	0	62.3
2/11/2015	10:20:38	0	62.3
2/11/2015	10:20:48	0	62.2
2/11/2015	10:20:59	0	62.2
2/11/2015	10:21:08	0	62.2
2/11/2015	10:21:18	0	62.2
2/11/2015	10:21:29	0	62.2
2/11/2015	10:21:38	0	62.1
2/11/2015	10:21:48	0	62.1
2/11/2015	10:21:59	0	62.1
2/11/2015	10:22:08	0	62.1
2/11/2015	10:22:18	0	62.1
2/11/2015	10:22:29	0	62
2/11/2015	10:22:38	0	62
2/11/2015	10:22:48	0	62
2/11/2015	10:22:59	0	62
2/11/2015	10:23:08	0	62
2/11/2015	10:23:18	0	62
2/11/2015	10:23:28	0	62
2/11/2015	10:23:38	0	62
2/11/2015	10:23:48	0	61.9
2/11/2015	10:23:59	0	61.9
2/11/2015	10:24:08	0	61.9
2/11/2015	10:24:18	0	61.9
2/11/2015	10:24:29	0	61.9
2/11/2015	10:24:38	0	61.9
2/11/2015	10:24:48	0	61.9
2/11/2015	10:24:58	0	61.9
2/11/2015	10:25:08	0	61.8
2/11/2015	10:25:18	0	61.8
2/11/2015	10:25:29	0	61.8
2/11/2015	10:25:38	0	61.8
2/11/2015	10:25:48	0	61.8
2/11/2015	10:25:58	0	61.8
2/11/2015	10:26:08	0	61.8
2/11/2015	10:26:18	0	61.8
2/11/2015	10:26:28	0	61.8
2/11/2015	10:26:38	0	61.8
2/11/2015	10:26:48	0	61.8
2/11/2015	10:26:58	0	61.8
2/11/2015	10:27:08	0	61.8
2/11/2015	10:27:18	0	61.8
2/11/2015	10:27:28	0	61.8
2/11/2015	10:27:38	0	61.8
2/11/2015	10:27:48	0	61.7
2/11/2015	10:27:58	0	61.7
2/11/2015	10:28:08	0	61.7
2/11/2015	10:28:18	0	61.7
2/11/2015	10:28:28	0	61.7
2/11/2015	10:28:38	0	61.7
2/11/2015	10:28:48	0	61.7
2/11/2015	10:28:58	0	61.7
2/11/2015	10:29:08	0	61.6
2/11/2015	10:29:18	0	61.6
2/11/2015	10:29:28	0	61.6
2/11/2015	10:29:38	0	61.6
2/11/2015	10:29:48	0	61.6
2/11/2015	10:29:58	0	61.6
2/11/2015	10:30:08	0	61.6
2/11/2015	10:30:18	0	61.5
2/11/2015	10:30:28	0	61.5
